files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.96  T=13.31 s (270.4 files/s 57591.6 lines/s)"
2636,Java,48101,150484,293669
82,C,11835,32028,69828
312,Groovy,7037,9919,50874
235,XML,1822,4593,21126
44,Bourne Shell,1495,3646,12181
67,C/C++ Header,1938,8206,5706
42,Perl,747,2842,4292
56,Python,695,1768,3965
16,JSON,0,0,3339
4,Web Services Description,525,298,3110
12,Text,52,0,1857
17,make,308,952,986
1,CSS,196,49,941
3,m4,85,1,733
44,Ant,396,1471,594
1,XSLT,27,106,326
5,Bourne Again Shell,76,160,318
5,HTML,52,142,165
6,INI,2,0,90
2,diff,32,86,41
1,Markdown,13,0,34
5,CSV,2,0,17
1,YAML,0,0,16
1,Properties,0,0,4
3598,SUM,75436,216751,474212
